state_zip,year,deaths_coef_2_all
Alabama,1999,1578.51734
Alabama,2000,1519.586153
Alabama,2001,1320.45636
Alabama,2002,1460.583498
Alabama,2003,1334.898437
Alabama,2004,1348.824248
Alabama,2005,1586.482119
Alabama,2006,1445.362084
Alabama,2007,1456.161925
Alabama,2008,1088.017704
Alabama,2009,724.0809888
Alabama,2010,704.3685349
Alabama,2011,602.0700324
Alabama,2012,399.8820589
Alabama,2013,416.1402023
Alabama,2014,350.2210713
Alabama,2015,250.8022649
Alabama,2016,143.9376411
Alabama,2017,112.8467169
Alabama,2018,136.8459741
Alabama,2019,89.39608243
Alabama,2020,74.71144737
Arizona,1999,63.71145935
Arizona,2000,56.43560176
Arizona,2001,58.15827361
Arizona,2002,58.10453465
Arizona,2003,73.04490541
Arizona,2004,71.09568834
Arizona,2005,57.50756225
Arizona,2006,39.72430392
Arizona,2007,46.03216625
Arizona,2008,33.00438505
Arizona,2009,27.64493876
Arizona,2010,26.95596304
Arizona,2011,28.18257368
Arizona,2012,21.95584189
Arizona,2013,25.45715163
Arizona,2014,16.6288615
Arizona,2015,21.98440513
Arizona,2016,13.32913079
Arizona,2017,17.71307635
Arizona,2018,14.26379086
Arizona,2019,7.127553946
Arizona,2020,8.64894155
Arkansas,1999,630.826424
Arkansas,2000,532.2060841
Arkansas,2001,470.972267
Arkansas,2002,592.2039859
Arkansas,2003,522.4909166
Arkansas,2004,449.8686767
Arkansas,2005,638.1392142
Arkansas,2006,437.8608479
Arkansas,2007,473.0885025
Arkansas,2008,369.473541
Arkansas,2009,321.74667
Arkansas,2010,309.4709302
Arkansas,2011,290.0716039
Arkansas,2012,241.8032301
Arkansas,2013,261.07974
Arkansas,2014,225.5385337
Arkansas,2015,183.245944
Arkansas,2016,142.2888195
Arkansas,2017,138.6618836
Arkansas,2018,136.9590659
Arkansas,2019,92.28224579
Arkansas,2020,79.97691609
California,1999,118.3483105
California,2000,89.4011643
California,2001,95.53176401
California,2002,71.90293797
California,2003,63.67043075
California,2004,105.7639395
California,2005,73.73540461
California,2006,23.00911432
California,2007,28.27426983
California,2008,23.6666848
California,2009,30.73413356
California,2010,21.28454046
California,2011,16.80843308
California,2012,13.19143031
California,2013,37.16665375
California,2014,15.44199665
California,2015,20.36779576
California,2016,13.98438445
California,2017,11.32480499
California,2018,11.11428398
