uID,year_scrubbed,year_shut,FacID,Facility.Latitude,Facility.Longitude,State
10.1,,2017,10,32.6017,-87.7811,AL
10.2,,2017,10,32.6017,-87.7811,AL
1001.1,2008,,1001,39.9239,-87.4272,IN
1001.2,2008,,1001,39.9239,-87.4272,IN
10017.2,2007,,10017,37.5392,-76.8053,VA
10025.1E,,2007,10025,43.1969,-77.6289,NY
10025.1F,,2007,10025,43.1969,-77.6289,NY
10025.2C,,2007,10025,43.1969,-77.6289,NY
10025.3A,,2014,10025,43.1969,-77.6289,NY
10025.3B,,2018,10025,43.1969,-77.6289,NY
10025.4A,,2018,10025,43.1969,-77.6289,NY
10025.4B,,2018,10025,43.1969,-77.6289,NY
10030.1,,2013,10030,39.1467,-75.5461,DE
1004.7.1,,2011,1004,38.8067,-87.2472,IN
1004.7.2,,2011,1004,38.8067,-87.2472,IN
1004.8.1,,2011,1004,38.8067,-87.2472,IN
1004.CTG1,,,1004,38.8067,-87.2472,IN
1004.CTG2,,,1004,38.8067,-87.2472,IN
10043.1001,1999,,10043,39.7914,-75.4081,NJ
1007.1,,2003,1007,40.0969,-85.9714,IN
1007.2,,2003,1007,40.0969,-85.9714,IN
1007.3,,2003,1007,40.0969,-85.9714,IN
10071.BLR01A,2008,2019,10071,36.8703,-76.3519,VA
10071.BLR01B,2008,2019,10071,36.8703,-76.3519,VA
10071.BLR01C,2008,2019,10071,36.8703,-76.3519,VA
10071.BLR02A,2007,2019,10071,36.8703,-76.3519,VA
10071.BLR02B,2007,2019,10071,36.8703,-76.3519,VA
10071.BLR02C,2007,2019,10071,36.8703,-76.3519,VA
10075.1,2008,,10075,47.5314,-90.9111,MN
10075.2,2007,,10075,47.5314,-90.9111,MN
10075.3,,2015,10075,47.5314,-90.9111,MN
1008.1,,2012,1008,38.2636,-85.8381,IN
1008.2,2010,2021,1008,38.2636,-85.8381,IN
1008.3,,2012,1008,38.2636,-85.8381,IN
1008.4,2010,2021,1008,38.2636,-85.8381,IN
1010.2,,2016,1010,39.53,-87.4247,IN
1010.3,,2016,1010,39.53,-87.4247,IN
1010.4,,2016,1010,39.53,-87.4247,IN
1010.5,,2016,1010,39.53,-87.4247,IN
1010.6,,2016,1010,39.53,-87.4247,IN
10111.EUBHB9,2008,2017,10111,42.6603,-83.2983,MI
10113.31,1999,,10113,40.79,-76.1984,PA
10113.32,1999,,10113,40.79,-76.1984,PA
10114.B101,,2007,10114,41.0489,-81.4736,OH
10114.B102,,2006,10114,41.0489,-81.4736,OH
1012.1,,2006,1012,37.91,-87.3267,IN
1012.2,1996,,1012,37.91,-87.3267,IN
1012.3,1996,,1012,37.91,-87.3267,IN
10143.AAB01,1999,,10143,40.55,-78.8,PA
10151.1A,2003,,10151,39.5611,-80.1642,WV
10151.1B,2003,,10151,39.5611,-80.1642,WV
10244.B001,,2005,10244,39.3265,-82.9744,OH
10244.B002,,2017,10244,39.3265,-82.9744,OH
10244.B003,,2017,10244,39.3265,-82.9744,OH
10252.9,2003,2006,10252,36.5489,-82.5667,TN
10321.8,,2006,10321,36.1542,-83.2042,TN
10321.9,,2006,10321,36.1542,-83.2042,TN
10328.UNIT1,,2017,10328,42.7178,-84.4836,MI
10328.UNIT2,,2017,10328,42.7178,-84.4836,MI
10328.UNIT3,,2017,10328,42.7178,-84.4836,MI
10328.UNIT4,2003,2018,10328,42.7178,-84.4836,MI
10333.1,2008,2014,10333,28.5814,-82.4303,FL
10343.SG.101,1999,,10343,40.8092,-76.4539,PA
10377.BLR01A,2007,2019,10377,37.2939,-77.2697,VA
10377.BLR01B,2007,2019,10377,37.2939,-77.2697,VA
10377.BLR01C,2007,2019,10377,37.2939,-77.2697,VA
10377.BLR02A,2008,2019,10377,37.2939,-77.2697,VA
10377.BLR02B,2008,2019,10377,37.2939,-77.2697,VA
10377.BLR02C,2008,2019,10377,37.2939,-77.2697,VA
10378.BLR01A,,2011,10378,33.9444,-78.0125,NC
10378.BLR01B,,2011,10378,33.9444,-78.0125,NC
10378.BLR01C,,2011,10378,33.9444,-78.0125,NC
10378.BLR02A,,2011,10378,33.9444,-78.0125,NC
10378.BLR02B,,2011,10378,33.9444,-78.0125,NC
10378.BLR02C,,2011,10378,33.9444,-78.0125,NC
10379.BLR01A,,2011,10379,36.435,-78.9619,NC
10379.BLR01B,,2011,10379,36.435,-78.9619,NC
10379.BLR01C,,2011,10379,36.435,-78.9619,NC
10380.UNIT1,,2018,10380,34.6474,-78.6407,NC
10380.UNIT2,,2018,10380,34.6474,-78.6407,NC
10382.UNIT1,2006,2016,10382,34.59,-78.9968,NC
10382.UNIT2,,2016,10382,34.59,-78.9968,NC
