state_zip,year,deaths_coef_2_all
Alabama,1999,1554.965224
Alabama,2000,1711.562471
Alabama,2001,1181.544082
Alabama,2002,1240.03034
Alabama,2003,1074.21506
Alabama,2004,1127.985009
Alabama,2005,1296.111414
Alabama,2006,1461.365914
Alabama,2007,1799.561559
Alabama,2008,1003.625391
Alabama,2009,504.3398035
Alabama,2010,480.1231235
Alabama,2011,424.6337828
Alabama,2012,242.5049559
Alabama,2013,216.8942033
Alabama,2014,187.1670065
Alabama,2015,121.1000979
Alabama,2016,68.51869105
Alabama,2017,52.99419251
Alabama,2018,62.7048633
Alabama,2019,40.76819192
Alabama,2020,32.00236975
Arizona,1999,35.94599343
Arizona,2000,32.64210407
Arizona,2001,33.80260003
Arizona,2002,33.23377681
Arizona,2003,42.61861354
Arizona,2004,39.96248222
Arizona,2005,32.15897492
Arizona,2006,21.4511481
Arizona,2007,25.21335609
Arizona,2008,17.09042044
Arizona,2009,14.62910437
Arizona,2010,13.93521356
Arizona,2011,14.85579063
Arizona,2012,11.64987154
Arizona,2013,13.24048726
Arizona,2014,8.821847967
Arizona,2015,11.64595135
Arizona,2016,6.948134433
Arizona,2017,9.476083747
Arizona,2018,7.593247147
Arizona,2019,3.652284099
Arizona,2020,4.617519286
Arkansas,1999,580.1642149
Arkansas,2000,449.482553
Arkansas,2001,371.2767337
Arkansas,2002,447.0258059
Arkansas,2003,391.4424547
Arkansas,2004,322.9490874
Arkansas,2005,564.5867219
Arkansas,2006,366.6714988
Arkansas,2007,384.8060295
Arkansas,2008,241.2078861
Arkansas,2009,188.7876518
Arkansas,2010,194.4659628
Arkansas,2011,183.1983425
Arkansas,2012,147.4472342
Arkansas,2013,138.2422951
Arkansas,2014,122.0286994
Arkansas,2015,89.66471358
Arkansas,2016,70.36140037
Arkansas,2017,69.18825114
Arkansas,2018,64.97330172
Arkansas,2019,41.53265165
Arkansas,2020,32.49843522
California,1999,52.94225598
California,2000,40.66989474
California,2001,43.73452534
California,2002,33.22842805
California,2003,29.5105229
California,2004,48.43488517
