state_zip,FacID,FacID.1,lat,lon,state_facility,deaths_coef_2,deaths_coef_1_x,deaths_coef_3_x,deaths_coef_2_all,deaths_coef_1_all,deaths_coef_3_all
Alabama,3,3,31.0069,-88.0103,Alabama,307.1397085,278.5881831,335.6924093,1834.464704,1663.958221,2004.973231
Arizona,3,3,31.0069,-88.0103,Alabama,0.261982742,0.237633859,0.286331628,1834.464704,1663.958221,2004.973231
Arkansas,3,3,31.0069,-88.0103,Alabama,27.26147532,24.72772708,29.79523309,1834.464704,1663.958221,2004.973231
California,3,3,31.0069,-88.0103,Alabama,0.012024417,0.010906859,0.013141976,1834.464704,1663.958221,2004.973231
Colorado,3,3,31.0069,-88.0103,Alabama,0.242487419,0.219950441,0.2650244,1834.464704,1663.958221,2004.973231
Connecticut,3,3,31.0069,-88.0103,Alabama,10.10741478,9.168019721,11.04681075,1834.464704,1663.958221,2004.973231
DC,3,3,31.0069,-88.0103,Alabama,2.556690134,2.319067413,2.794313275,1834.464704,1663.958221,2004.973231
Delaware,3,3,31.0069,-88.0103,Alabama,3.206314253,2.90831514,3.504313754,1834.464704,1663.958221,2004.973231
Florida,3,3,31.0069,-88.0103,Alabama,170.5945195,154.7385891,186.4506036,1834.464704,1663.958221,2004.973231
Georgia,3,3,31.0069,-88.0103,Alabama,153.9635746,139.653488,168.2737839,1834.464704,1663.958221,2004.973231
Idaho,3,3,31.0069,-88.0103,Alabama,0.001424731,0.001292315,0.001557147,1834.464704,1663.958221,2004.973231
Illinois,3,3,31.0069,-88.0103,Alabama,48.93160422,44.38382173,53.47939552,1834.464704,1663.958221,2004.973231
Indiana,3,3,31.0069,-88.0103,Alabama,44.3401853,40.21911689,48.46126576,1834.464704,1663.958221,2004.973231
Iowa,3,3,31.0069,-88.0103,Alabama,4.479082491,4.062792041,4.895373188,1834.464704,1663.958221,2004.973231
Kansas,3,3,31.0069,-88.0103,Alabama,5.630389261,5.107094289,6.153684731,1834.464704,1663.958221,2004.973231
Kentucky,3,3,31.0069,-88.0103,Alabama,45.62743559,41.38670184,49.86818698,1834.464704,1663.958221,2004.973231
Louisiana,3,3,31.0069,-88.0103,Alabama,77.5488128,70.3410758,84.75660982,1834.464704,1663.958221,2004.973231
Maine,3,3,31.0069,-88.0103,Alabama,2.14594508,1.946498869,2.345391392,1834.464704,1663.958221,2004.973231
Maryland,3,3,31.0069,-88.0103,Alabama,22.17847255,20.11717214,24.23977639,1834.464704,1663.958221,2004.973231
Massachusetts,3,3,31.0069,-88.0103,Alabama,15.31889525,13.89514012,16.74265154,1834.464704,1663.958221,2004.973231
Michigan,3,3,31.0069,-88.0103,Alabama,33.8473348,30.7015172,36.99315677,1834.464704,1663.958221,2004.973231
Minnesota,3,3,31.0069,-88.0103,Alabama,3.161730541,2.867876471,3.455584712,1834.464704,1663.958221,2004.973231
Mississippi,3,3,31.0069,-88.0103,Alabama,118.015747,107.0461989,128.9855159,1834.464704,1663.958221,2004.973231
Missouri,3,3,31.0069,-88.0103,Alabama,29.79052026,27.0217377,32.55930888,1834.464704,1663.958221,2004.973231
Montana,3,3,31.0069,-88.0103,Alabama,0.00247398,0.002244046,0.002703913,1834.464704,1663.958221,2004.973231
Nebraska,3,3,31.0069,-88.0103,Alabama,1.558166462,1.41334902,1.702983966,1834.464704,1663.958221,2004.973231
Nevada,3,3,31.0069,-88.0103,Alabama,0.008815527,0.007996205,0.009634849,1834.464704,1663.958221,2004.973231
New Hampshire,3,3,31.0069,-88.0103,Alabama,2.397568886,2.174736301,2.620401628,1834.464704,1663.958221,2004.973231
New Jersey,3,3,31.0069,-88.0103,Alabama,30.29161855,27.47627628,33.10696427,1834.464704,1663.958221,2004.973231
New Mexico,3,3,31.0069,-88.0103,Alabama,0.383489223,0.347847407,0.419131049,1834.464704,1663.958221,2004.973231
New York,3,3,31.0069,-88.0103,Alabama,53.23313922,48.28558688,58.18069667,1834.464704,1663.958221,2004.973231
North Carolina,3,3,31.0069,-88.0103,Alabama,105.1837856,95.40769425,114.9599245,1834.464704,1663.958221,2004.973231
North Dakota,3,3,31.0069,-88.0103,Alabama,0.098893113,0.089701908,0.108084319,1834.464704,1663.958221,2004.973231
Ohio,3,3,31.0069,-88.0103,Alabama,70.92453526,64.33269184,77.51639193,1834.464704,1663.958221,2004.973231
Oklahoma,3,3,31.0069,-88.0103,Alabama,17.11976395,15.52862522,18.7109058,1834.464704,1663.958221,2004.973231
Oregon,3,3,31.0069,-88.0103,Alabama,4.60E-07,4.17E-07,5.03E-07,1834.464704,1663.958221,2004.973231
Pennsylvania,3,3,31.0069,-88.0103,Alabama,60.79479536,55.14444445,66.44515398,1834.464704,1663.958221,2004.973231
Rhode Island,3,3,31.0069,-88.0103,Alabama,2.962781146,2.687416914,3.238145615,1834.464704,1663.958221,2004.973231
South Carolina,3,3,31.0069,-88.0103,Alabama,66.01035792,59.87513501,72.14561596,1834.464704,1663.958221,2004.973231
South Dakota,3,3,31.0069,-88.0103,Alabama,0.352896928,0.320098382,0.385695484,1834.464704,1663.958221,2004.973231
Tennessee,3,3,31.0069,-88.0103,Alabama,114.8343087,104.1611185,125.5075817,1834.464704,1663.958221,2004.973231
Texas,3,3,31.0069,-88.0103,Alabama,104.6441819,94.91833715,114.3700547,1834.464704,1663.958221,2004.973231
Utah,3,3,31.0069,-88.0103,Alabama,0.004181386,0.003792765,0.004570007,1834.464704,1663.958221,2004.973231
Vermont,3,3,31.0069,-88.0103,Alabama,1.092574479,0.991029499,1.19411952,1834.464704,1663.958221,2004.973231
Virginia,3,3,31.0069,-88.0103,Alabama,49.67203653,45.05541122,54.28867607,1834.464704,1663.958221,2004.973231
Washington,3,3,31.0069,-88.0103,Alabama,0.003365489,0.003052698,0.00367828,1834.464704,1663.958221,2004.973231
West Virginia,3,3,31.0069,-88.0103,Alabama,17.44762584,15.82600674,19.06924981,1834.464704,1663.958221,2004.973231
Wisconsin,3,3,31.0069,-88.0103,Alabama,9.071522327,8.228405445,9.914639801,1834.464704,1663.958221,2004.973231
Wyoming,3,3,31.0069,-88.0103,Alabama,0.008053886,0.007305352,0.008802421,1834.464704,1663.958221,2004.973231
Alabama,7,7,34.0128,-85.9708,Alabama,84.59302092,76.72990095,92.45634217,461.6453806,418.7380786,504.5530184
Arizona,7,7,34.0128,-85.9708,Alabama,0.00377931,0.003428058,0.004130561,461.6453806,418.7380786,504.5530184
Arkansas,7,7,34.0128,-85.9708,Alabama,3.022737492,2.741800788,3.303674451,461.6453806,418.7380786,504.5530184
California,7,7,34.0128,-85.9708,Alabama,0.000540118,0.000489919,0.000590317,461.6453806,418.7380786,504.5530184
Colorado,7,7,34.0128,-85.9708,Alabama,0.019192334,0.017408584,0.020976084,461.6453806,418.7380786,504.5530184
Connecticut,7,7,34.0128,-85.9708,Alabama,2.922565692,2.650939617,3.194191903,461.6453806,418.7380786,504.5530184
DC,7,7,34.0128,-85.9708,Alabama,0.885301541,0.803020506,0.967582669,461.6453806,418.7380786,504.5530184
Delaware,7,7,34.0128,-85.9708,Alabama,1.027786545,0.932262945,1.123310218,461.6453806,418.7380786,504.5530184
Florida,7,7,34.0128,-85.9708,Alabama,16.3281983,14.81063833,17.84575933,461.6453806,418.7380786,504.5530184
Georgia,7,7,34.0128,-85.9708,Alabama,71.89601967,65.21361046,78.57849854,461.6453806,418.7380786,504.5530184
Idaho,7,7,34.0128,-85.9708,Alabama,0.000188545,0.000171021,0.000206068,461.6453806,418.7380786,504.5530184
Illinois,7,7,34.0128,-85.9708,Alabama,9.628112495,8.733265672,10.52295992,461.6453806,418.7380786,504.5530184
Indiana,7,7,34.0128,-85.9708,Alabama,12.17549178,11.04388455,13.30710066,461.6453806,418.7380786,504.5530184
Iowa,7,7,34.0128,-85.9708,Alabama,0.648067456,0.587835534,0.708299389,461.6453806,418.7380786,504.5530184
Kansas,7,7,34.0128,-85.9708,Alabama,0.539703792,0.48954327,0.589864326,461.6453806,418.7380786,504.5530184
Kentucky,7,7,34.0128,-85.9708,Alabama,16.07217282,14.57839407,17.56595548,461.6453806,418.7380786,504.5530184
Louisiana,7,7,34.0128,-85.9708,Alabama,4.447776281,4.03439495,4.861157963,461.6453806,418.7380786,504.5530184
Maine,7,7,34.0128,-85.9708,Alabama,0.605863362,0.549553903,0.662172836,461.6453806,418.7380786,504.5530184
Maryland,7,7,34.0128,-85.9708,Alabama,7.478685842,6.78360778,8.173764614,461.6453806,418.7380786,504.5530184
Massachusetts,7,7,34.0128,-85.9708,Alabama,4.360999292,3.955683977,4.766314774,461.6453806,418.7380786,504.5530184
Michigan,7,7,34.0128,-85.9708,Alabama,8.566185348,7.770035344,9.362335843,461.6453806,418.7380786,504.5530184
Minnesota,7,7,34.0128,-85.9708,Alabama,0.41878085,0.379859034,0.45770267,461.6453806,418.7380786,504.5530184
Mississippi,7,7,34.0128,-85.9708,Alabama,7.196366844,6.527523854,7.865211336,461.6453806,418.7380786,504.5530184
Missouri,7,7,34.0128,-85.9708,Alabama,4.571959646,4.147036858,4.996882736,461.6453806,418.7380786,504.5530184
Montana,7,7,34.0128,-85.9708,Alabama,0.000542274,0.000491874,0.000592673,461.6453806,418.7380786,504.5530184
Nebraska,7,7,34.0128,-85.9708,Alabama,0.155560321,0.141102422,0.170018222,461.6453806,418.7380786,504.5530184
Nevada,7,7,34.0128,-85.9708,Alabama,2.15E-05,1.95E-05,2.35E-05,461.6453806,418.7380786,504.5530184
New Hampshire,7,7,34.0128,-85.9708,Alabama,0.681308735,0.617987287,0.744630205,461.6453806,418.7380786,504.5530184
New Jersey,7,7,34.0128,-85.9708,Alabama,9.080307814,8.236374579,9.924241605,461.6453806,418.7380786,504.5530184
New Mexico,7,7,34.0128,-85.9708,Alabama,0.019897959,0.018048628,0.021747291,461.6453806,418.7380786,504.5530184
New York,7,7,34.0128,-85.9708,Alabama,15.25515268,13.83732383,16.67298228,461.6453806,418.7380786,504.5530184
North Carolina,7,7,34.0128,-85.9708,Alabama,35.4584622,32.16287737,38.75405708,461.6453806,418.7380786,504.5530184
North Dakota,7,7,34.0128,-85.9708,Alabama,0.01224652,0.011108319,0.013384721,461.6453806,418.7380786,504.5530184
Ohio,7,7,34.0128,-85.9708,Alabama,22.69107602,20.58213841,24.80001612,461.6453806,418.7380786,504.5530184
Oklahoma,7,7,34.0128,-85.9708,Alabama,1.515120166,1.374303415,1.655936992,461.6453806,418.7380786,504.5530184
Oregon,7,7,34.0128,-85.9708,Alabama,1.62E-06,1.47E-06,1.77E-06,461.6453806,418.7380786,504.5530184
Pennsylvania,7,7,34.0128,-85.9708,Alabama,19.32340463,17.52746629,21.11934436,461.6453806,418.7380786,504.5530184
Rhode Island,7,7,34.0128,-85.9708,Alabama,0.839854649,0.761797774,0.917911557,461.6453806,418.7380786,504.5530184
South Carolina,7,7,34.0128,-85.9708,Alabama,20.64243246,18.72387611,22.56099564,461.6453806,418.7380786,504.5530184
South Dakota,7,7,34.0128,-85.9708,Alabama,0.034576138,0.031362605,0.037789671,461.6453806,418.7380786,504.5530184
Tennessee,7,7,34.0128,-85.9708,Alabama,45.42103569,41.19944066,49.64265744,461.6453806,418.7380786,504.5530184
Texas,7,7,34.0128,-85.9708,Alabama,7.604293839,6.897543556,8.311044447,461.6453806,418.7380786,504.5530184
Utah,7,7,34.0128,-85.9708,Alabama,0.001866204,0.001692758,0.002039651,461.6453806,418.7380786,504.5530184
Vermont,7,7,34.0128,-85.9708,Alabama,0.326713284,0.29634826,0.357078317,461.6453806,418.7380786,504.5530184
Virginia,7,7,34.0128,-85.9708,Alabama,17.26922879,15.66419854,18.87426218,461.6453806,418.7380786,504.5530184
Washington,7,7,34.0128,-85.9708,Alabama,0.000166752,0.000151254,0.00018225,461.6453806,418.7380786,504.5530184
West Virginia,7,7,34.0128,-85.9708,Alabama,6.269428167,5.686737497,6.852119938,461.6453806,418.7380786,504.5530184
Wisconsin,7,7,34.0128,-85.9708,Alabama,1.632222801,1.480522631,1.783923006,461.6453806,418.7380786,504.5530184
Wyoming,7,7,34.0128,-85.9708,Alabama,0.000963104,0.000873592,0.001052615,461.6453806,418.7380786,504.5530184
Alabama,8,8,33.6446,-87.2003,Alabama,746.7723524,677.3227249,816.2310169,2884.973204,2616.787055,3153.170553
Arizona,8,8,33.6446,-87.2003,Alabama,0.063193406,0.057320164,0.06906665,2884.973204,2616.787055,3153.170553
Arkansas,8,8,33.6446,-87.2003,Alabama,28.84196657,26.16129705,31.52265164,2884.973204,2616.787055,3153.170553
California,8,8,33.6446,-87.2003,Alabama,0.013050079,0.011837195,0.014262963,2884.973204,2616.787055,3153.170553
Colorado,8,8,33.6446,-87.2003,Alabama,0.085563247,0.077610933,0.093515561,2884.973204,2616.787055,3153.170553
Connecticut,8,8,33.6446,-87.2003,Alabama,16.72702274,15.17238604,18.28166249,2884.973204,2616.787055,3153.170553
DC,8,8,33.6446,-87.2003,Alabama,4.441024747,4.028264741,4.853786367,2884.973204,2616.787055,3153.170553
Delaware,8,8,33.6446,-87.2003,Alabama,5.107338936,4.632652886,5.582026254,2884.973204,2616.787055,3153.170553
Florida,8,8,33.6446,-87.2003,Alabama,108.4952254,98.41140458,118.5790861,2884.973204,2616.787055,3153.170553
Georgia,8,8,33.6446,-87.2003,Alabama,276.37742,250.6874458,302.0680608,2884.973204,2616.787055,3153.170553
Idaho,8,8,33.6446,-87.2003,Alabama,0.000787315,0.000714141,0.000860489,2884.973204,2616.787055,3153.170553
Illinois,8,8,33.6446,-87.2003,Alabama,69.75209199,63.26917332,76.23503273,2884.973204,2616.787055,3153.170553
Indiana,8,8,33.6446,-87.2003,Alabama,82.60133981,74.92403781,90.27869763,2884.973204,2616.787055,3153.170553
Iowa,8,8,33.6446,-87.2003,Alabama,5.452409846,4.945656146,5.959164098,2884.973204,2616.787055,3153.170553
Kansas,8,8,33.6446,-87.2003,Alabama,5.059604821,4.589358028,5.529852305,2884.973204,2616.787055,3153.170553
Kentucky,8,8,33.6446,-87.2003,Alabama,93.89178657,85.16494737,102.6187215,2884.973204,2616.787055,3153.170553
Louisiana,8,8,33.6446,-87.2003,Alabama,45.87528692,41.61147922,50.13912015,2884.973204,2616.787055,3153.170553
Maine,8,8,33.6446,-87.2003,Alabama,3.42970114,3.110940644,3.74846195,2884.973204,2616.787055,3153.170553
Maryland,8,8,33.6446,-87.2003,Alabama,36.99214685,33.55400969,40.43029623,2884.973204,2616.787055,3153.170553
Massachusetts,8,8,33.6446,-87.2003,Alabama,24.88935573,22.57610219,27.20261304,2884.973204,2616.787055,3153.170553
Michigan,8,8,33.6446,-87.2003,Alabama,59.25953123,53.75181581,64.76726524,2884.973204,2616.787055,3153.170553
Minnesota,8,8,33.6446,-87.2003,Alabama,3.421484351,3.103488365,3.73948048,2884.973204,2616.787055,3153.170553
Mississippi,8,8,33.6446,-87.2003,Alabama,81.2388841,73.68782651,88.79007604,2884.973204,2616.787055,3153.170553
Missouri,8,8,33.6446,-87.2003,Alabama,37.65800162,34.1579721,41.15804487,2884.973204,2616.787055,3153.170553
Montana,8,8,33.6446,-87.2003,Alabama,0.004330698,0.0039282,0.004733197,2884.973204,2616.787055,3153.170553
Nebraska,8,8,33.6446,-87.2003,Alabama,1.456736039,1.321345401,1.592126782,2884.973204,2616.787055,3153.170553
Nevada,8,8,33.6446,-87.2003,Alabama,0.001081455,0.000980944,0.001181966,2884.973204,2616.787055,3153.170553
New Hampshire,8,8,33.6446,-87.2003,Alabama,3.877534606,3.517151193,4.237918527,2884.973204,2616.787055,3153.170553
New Jersey,8,8,33.6446,-87.2003,Alabama,50.41291258,45.72744203,55.09839484,2884.973204,2616.787055,3153.170553
New Mexico,8,8,33.6446,-87.2003,Alabama,0.211302581,0.191663939,0.230941228,2884.973204,2616.787055,3153.170553
New York,8,8,33.6446,-87.2003,Alabama,88.7076349,80.46299568,96.95229174,2884.973204,2616.787055,3153.170553
North Carolina,8,8,33.6446,-87.2003,Alabama,182.9926701,165.9842701,200.0012598,2884.973204,2616.787055,3153.170553
North Dakota,8,8,33.6446,-87.2003,Alabama,0.117953363,0.106990679,0.128916051,2884.973204,2616.787055,3153.170553
Ohio,8,8,33.6446,-87.2003,Alabama,131.797155,119.54752,144.0468536,2884.973204,2616.787055,3153.170553
Oklahoma,8,8,33.6446,-87.2003,Alabama,15.04439097,13.64613266,16.44265367,2884.973204,2616.787055,3153.170553
Oregon,8,8,33.6446,-87.2003,Alabama,3.28E-06,2.97E-06,3.58E-06,2884.973204,2616.787055,3153.170553
Pennsylvania,8,8,33.6446,-87.2003,Alabama,105.2696078,95.48562739,115.0536178,2884.973204,2616.787055,3153.170553
Rhode Island,8,8,33.6446,-87.2003,Alabama,4.917035676,4.460038832,5.374033321,2884.973204,2616.787055,3153.170553
South Carolina,8,8,33.6446,-87.2003,Alabama,99.60776224,90.34957964,108.8660603,2884.973204,2616.787055,3153.170553
South Dakota,8,8,33.6446,-87.2003,Alabama,0.340029359,0.308426713,0.371632019,2884.973204,2616.787055,3153.170553
Tennessee,8,8,33.6446,-87.2003,Alabama,251.9878259,228.5653904,275.4107739,2884.973204,2616.787055,3153.170553
Texas,8,8,33.6446,-87.2003,Alabama,76.67501798,69.54867425,83.80138441,2884.973204,2616.787055,3153.170553
Utah,8,8,33.6446,-87.2003,Alabama,0.007319646,0.006639353,0.007999939,2884.973204,2616.787055,3153.170553
Vermont,8,8,33.6446,-87.2003,Alabama,1.810754851,1.642460915,1.979049,2884.973204,2616.787055,3153.170553
Virginia,8,8,33.6446,-87.2003,Alabama,87.82137276,79.65890369,95.98390038,2884.973204,2616.787055,3153.170553
Washington,8,8,33.6446,-87.2003,Alabama,0.002464132,0.002235114,0.002693151,2884.973204,2616.787055,3153.170553
West Virginia,8,8,33.6446,-87.2003,Alabama,33.27458452,30.18191071,36.36728074,2884.973204,2616.787055,3153.170553
Wisconsin,8,8,33.6446,-87.2003,Alabama,12.18524286,11.05273103,13.31775598,2884.973204,2616.787055,3153.170553
Wyoming,8,8,33.6446,-87.2003,Alabama,0.003911402,0.003547873,0.00427493,2884.973204,2616.787055,3153.170553
Alabama,10,10,32.6017,-87.7811,Alabama,328.0749871,297.5763828,358.5750411,1859.498766,1686.66324,2032.336821
Arizona,10,10,32.6017,-87.7811,Alabama,0.072180867,0.065472322,0.078889411,1859.498766,1686.66324,2032.336821
Arkansas,10,10,32.6017,-87.7811,Alabama,24.69079802,22.39595688,26.98565147,1859.498766,1686.66324,2032.336821
California,10,10,32.6017,-87.7811,Alabama,0.008954162,0.008121956,0.009786369,1859.498766,1686.66324,2032.336821
Colorado,10,10,32.6017,-87.7811,Alabama,0.124358473,0.1128005,0.135916446,1859.498766,1686.66324,2032.336821
Connecticut,10,10,32.6017,-87.7811,Alabama,10.99704746,9.974966116,12.01913036,1859.498766,1686.66324,2032.336821
DC,10,10,32.6017,-87.7811,Alabama,3.09533793,2.807650638,3.383026101,1859.498766,1686.66324,2032.336821
Delaware,10,10,32.6017,-87.7811,Alabama,3.834261076,3.477898257,4.190624665,1859.498766,1686.66324,2032.336821
Florida,10,10,32.6017,-87.7811,Alabama,104.030043,94.36119497,113.6989358,1859.498766,1686.66324,2032.336821
Georgia,10,10,32.6017,-87.7811,Alabama,178.7976982,162.1788889,195.4167574,1859.498766,1686.66324,2032.336821
Idaho,10,10,32.6017,-87.7811,Alabama,0.002706811,0.002455238,0.002958384,1859.498766,1686.66324,2032.336821
Illinois,10,10,32.6017,-87.7811,Alabama,50.17799694,45.51435151,54.84165574,1859.498766,1686.66324,2032.336821
Indiana,10,10,32.6017,-87.7811,Alabama,54.51944878,49.452239,59.58668559,1859.498766,1686.66324,2032.336821
Iowa,10,10,32.6017,-87.7811,Alabama,4.293089892,3.894085355,4.692094754,1859.498766,1686.66324,2032.336821
Kansas,10,10,32.6017,-87.7811,Alabama,4.676301456,4.241679981,5.110923456,1859.498766,1686.66324,2032.336821
Kentucky,10,10,32.6017,-87.7811,Alabama,58.42252638,52.99249104,63.8526032,1859.498766,1686.66324,2032.336821
Louisiana,10,10,32.6017,-87.7811,Alabama,49.40679915,44.81473324,53.99889814,1859.498766,1686.66324,2032.336821
Maine,10,10,32.6017,-87.7811,Alabama,2.351755311,2.133180608,2.570330183,1859.498766,1686.66324,2032.336821
Maryland,10,10,32.6017,-87.7811,Alabama,27.1917998,24.66453921,29.71906748,1859.498766,1686.66324,2032.336821
Massachusetts,10,10,32.6017,-87.7811,Alabama,16.15353798,14.65220707,17.65487077,1859.498766,1686.66324,2032.336821
Michigan,10,10,32.6017,-87.7811,Alabama,39.43552382,35.7703138,43.10074272,1859.498766,1686.66324,2032.336821
Minnesota,10,10,32.6017,-87.7811,Alabama,2.902547293,2.632781888,3.172312804,1859.498766,1686.66324,2032.336821
Mississippi,10,10,32.6017,-87.7811,Alabama,88.9283953,80.66251029,97.19444716,1859.498766,1686.66324,2032.336821
Missouri,10,10,32.6017,-87.7811,Alabama,28.78143763,26.10642704,31.45645694,1859.498766,1686.66324,2032.336821
Montana,10,10,32.6017,-87.7811,Alabama,0.003662617,0.00332221,0.004003023,1859.498766,1686.66324,2032.336821
Nebraska,10,10,32.6017,-87.7811,Alabama,1.3633263,1.236617407,1.490035262,1859.498766,1686.66324,2032.336821
Nevada,10,10,32.6017,-87.7811,Alabama,0.001773049,0.00160826,0.001937837,1859.498766,1686.66324,2032.336821
New Hampshire,10,10,32.6017,-87.7811,Alabama,2.59410904,2.353009376,2.83520896,1859.498766,1686.66324,2032.336821
New Jersey,10,10,32.6017,-87.7811,Alabama,34.31245887,31.1234025,37.50152159,1859.498766,1686.66324,2032.336821
New Mexico,10,10,32.6017,-87.7811,Alabama,0.215300426,0.195290215,0.235310644,1859.498766,1686.66324,2032.336821
New York,10,10,32.6017,-87.7811,Alabama,59.10353333,53.61036282,64.59671294,1859.498766,1686.66324,2032.336821
North Carolina,10,10,32.6017,-87.7811,Alabama,118.0552875,107.0827234,129.0279372,1859.498766,1686.66324,2032.336821
North Dakota,10,10,32.6017,-87.7811,Alabama,0.092376695,0.083791129,0.100962263,1859.498766,1686.66324,2032.336821
Ohio,10,10,32.6017,-87.7811,Alabama,89.44346509,81.13036965,97.75659201,1859.498766,1686.66324,2032.336821
Oklahoma,10,10,32.6017,-87.7811,Alabama,12.73869459,11.55473717,13.92265482,1859.498766,1686.66324,2032.336821
Oregon,10,10,32.6017,-87.7811,Alabama,1.85E-06,1.68E-06,2.02E-06,1859.498766,1686.66324,2032.336821
Pennsylvania,10,10,32.6017,-87.7811,Alabama,74.43155543,67.51374956,81.3493781,1859.498766,1686.66324,2032.336821
Rhode Island,10,10,32.6017,-87.7811,Alabama,3.127704652,2.837011575,3.418398117,1859.498766,1686.66324,2032.336821
