state_zip,FacID,lat,lon,state_facility,deaths_coef_2,deaths_coef_2_all
Alabama,3,31.0069,-88.0103,Alabama,195.0810745,2150.579729
Arizona,3,31.0069,-88.0103,Alabama,0.326837584,2150.579729
Arkansas,3,31.0069,-88.0103,Alabama,39.87753615,2150.579729
California,3,31.0069,-88.0103,Alabama,0.01258432,2150.579729
Colorado,3,31.0069,-88.0103,Alabama,0.276477096,2150.579729
Connecticut,3,31.0069,-88.0103,Alabama,13.26281843,2150.579729
DC,3,31.0069,-88.0103,Alabama,3.294890942,2150.579729
Delaware,3,31.0069,-88.0103,Alabama,4.407532293,2150.579729
Florida,3,31.0069,-88.0103,Alabama,147.4787348,2150.579729
Georgia,3,31.0069,-88.0103,Alabama,133.238301,2150.579729
Idaho,3,31.0069,-88.0103,Alabama,0.001680684,2150.579729
Illinois,3,31.0069,-88.0103,Alabama,66.84669181,2150.579729
Indiana,3,31.0069,-88.0103,Alabama,48.43109037,2150.579729
Iowa,3,31.0069,-88.0103,Alabama,6.68276114,2150.579729
Kansas,3,31.0069,-88.0103,Alabama,7.127473702,2150.579729
Kentucky,3,31.0069,-88.0103,Alabama,47.46316877,2150.579729
Louisiana,3,31.0069,-88.0103,Alabama,226.0131994,2150.579729
Maine,3,31.0069,-88.0103,Alabama,2.866520827,2150.579729
Maryland,3,31.0069,-88.0103,Alabama,30.59113721,2150.579729
Massachusetts,3,31.0069,-88.0103,Alabama,19.52958871,2150.579729
Michigan,3,31.0069,-88.0103,Alabama,41.83585603,2150.579729
Minnesota,3,31.0069,-88.0103,Alabama,4.695354135,2150.579729
Mississippi,3,31.0069,-88.0103,Alabama,270.9699681,2150.579729
Missouri,3,31.0069,-88.0103,Alabama,40.46551962,2150.579729
Montana,3,31.0069,-88.0103,Alabama,0.003413371,2150.579729
Nebraska,3,31.0069,-88.0103,Alabama,2.149655518,2150.579729
Nevada,3,31.0069,-88.0103,Alabama,0.007964357,2150.579729
New Hampshire,3,31.0069,-88.0103,Alabama,3.14391039,2150.579729
New Jersey,3,31.0069,-88.0103,Alabama,38.03104096,2150.579729
New Mexico,3,31.0069,-88.0103,Alabama,0.474532607,2150.579729
New York,3,31.0069,-88.0103,Alabama,66.61063345,2150.579729
North Carolina,3,31.0069,-88.0103,Alabama,106.7755388,2150.579729
North Dakota,3,31.0069,-88.0103,Alabama,0.157786921,2150.579729
Ohio,3,31.0069,-88.0103,Alabama,70.88609072,2150.579729
Oklahoma,3,31.0069,-88.0103,Alabama,20.84633295,2150.579729
Oregon,3,31.0069,-88.0103,Alabama,2.01E-07,2150.579729
Pennsylvania,3,31.0069,-88.0103,Alabama,82.52184228,2150.579729
Rhode Island,3,31.0069,-88.0103,Alabama,3.745953681,2150.579729
South Carolina,3,31.0069,-88.0103,Alabama,64.25002964,2150.579729
South Dakota,3,31.0069,-88.0103,Alabama,0.501398245,2150.579729
Tennessee,3,31.0069,-88.0103,Alabama,115.9529785,2150.579729
Texas,3,31.0069,-88.0103,Alabama,132.9397806,2150.579729
Utah,3,31.0069,-88.0103,Alabama,0.004516374,2150.579729
Vermont,3,31.0069,-88.0103,Alabama,1.503187761,2150.579729
Virginia,3,31.0069,-88.0103,Alabama,56.17836209,2150.579729
Washington,3,31.0069,-88.0103,Alabama,0.002790815,2150.579729
West Virginia,3,31.0069,-88.0103,Alabama,19.2074647,2150.579729
Wisconsin,3,31.0069,-88.0103,Alabama,13.89697735,2150.579729
Wyoming,3,31.0069,-88.0103,Alabama,0.010749099,2150.579729
Alabama,7,34.0128,-85.9708,Alabama,103.2397486,502.1737939
