,state_zip,FacID,FacID.1,lat,lon,state_facility,deaths_coef_2,deaths_coef_1_x,deaths_coef_3_x,deaths_coef_2_all,deaths_coef_1_all,deaths_coef_3_all
0,Alabama,3,3,31.0069,-88.0103,Alabama,195.0810745,177.7070652,212.4553771,2150.579729,1959.04782,2342.114931
1,Arizona,3,3,31.0069,-88.0103,Alabama,0.326837584,0.297731772,0.3559434,2150.579729,1959.04782,2342.114931
2,Arkansas,3,3,31.0069,-88.0103,Alabama,39.87753615,36.32623014,43.42886192,2150.579729,1959.04782,2342.114931
3,California,3,3,31.0069,-88.0103,Alabama,0.01258432,0.011463651,0.013704988,2150.579729,1959.04782,2342.114931
4,Colorado,3,3,31.0069,-88.0103,Alabama,0.276477096,0.25185603,0.301098165,2150.579729,1959.04782,2342.114931
5,Connecticut,3,3,31.0069,-88.0103,Alabama,13.26281843,12.08172044,14.44391784,2150.579729,1959.04782,2342.114931
6,DC,3,3,31.0069,-88.0103,Alabama,3.294890942,3.001468561,3.588313953,2150.579729,1959.04782,2342.114931
7,Delaware,3,3,31.0069,-88.0103,Alabama,4.407532293,4.015025914,4.800039344,2150.579729,1959.04782,2342.114931
8,Florida,3,3,31.0069,-88.0103,Alabama,147.4787348,134.3449707,160.6125721,2150.579729,1959.04782,2342.114931
9,Georgia,3,3,31.0069,-88.0103,Alabama,133.238301,121.3726594,145.1040212,2150.579729,1959.04782,2342.114931
10,Idaho,3,3,31.0069,-88.0103,Alabama,0.001680684,0.001531014,0.001830353,2150.579729,1959.04782,2342.114931
11,Illinois,3,3,31.0069,-88.0103,Alabama,66.84669181,60.89374027,72.79965676,2150.579729,1959.04782,2342.114931
12,Indiana,3,3,31.0069,-88.0103,Alabama,48.43109037,44.1181101,52.74408191,2150.579729,1959.04782,2342.114931
13,Iowa,3,3,31.0069,-88.0103,Alabama,6.68276114,6.087640045,7.277882767,2150.579729,1959.04782,2342.114931
14,Kansas,3,3,31.0069,-88.0103,Alabama,7.127473702,6.49274881,7.762199305,2150.579729,1959.04782,2342.114931
15,Kentucky,3,3,31.0069,-88.0103,Alabama,47.46316877,43.23635706,51.68999712,2150.579729,1959.04782,2342.114931
16,Louisiana,3,3,31.0069,-88.0103,Alabama,226.0131994,205.8826209,246.1444579,2150.579729,1959.04782,2342.114931
17,Maine,3,3,31.0069,-88.0103,Alabama,2.866520827,2.61124838,3.121793436,2150.579729,1959.04782,2342.114931
18,Maryland,3,3,31.0069,-88.0103,Alabama,30.59113721,27.86688216,33.31539804,2150.579729,1959.04782,2342.114931
19,Massachusetts,3,3,31.0069,-88.0103,Alabama,19.52958871,17.79041603,21.26876311,2150.579729,1959.04782,2342.114931
20,Michigan,3,3,31.0069,-88.0103,Alabama,41.83585603,38.11022967,45.5614878,2150.579729,1959.04782,2342.114931
21,Minnesota,3,3,31.0069,-88.0103,Alabama,4.695354135,4.277218901,5.113489555,2150.579729,1959.04782,2342.114931
22,Mississippi,3,3,31.0069,-88.0103,Alabama,270.9699681,246.8300003,295.1117639,2150.579729,1959.04782,2342.114931
23,Missouri,3,3,31.0069,-88.0103,Alabama,40.46551962,36.86190036,44.0691492,2150.579729,1959.04782,2342.114931
24,Montana,3,3,31.0069,-88.0103,Alabama,0.003413371,0.003109401,0.003717341,2150.579729,1959.04782,2342.114931
25,Nebraska,3,3,31.0069,-88.0103,Alabama,2.149655518,1.95822221,2.341088931,2150.579729,1959.04782,2342.114931
26,Nevada,3,3,31.0069,-88.0103,Alabama,0.007964357,0.007255109,0.008673605,2150.579729,1959.04782,2342.114931
27,New Hampshire,3,3,31.0069,-88.0103,Alabama,3.14391039,2.863935201,3.423885826,2150.579729,1959.04782,2342.114931
28,New Jersey,3,3,31.0069,-88.0103,Alabama,38.03104096,34.64424633,41.41784052,2150.579729,1959.04782,2342.114931
29,New Mexico,3,3,31.0069,-88.0103,Alabama,0.474532607,0.432274101,0.516791125,2150.579729,1959.04782,2342.114931
30,New York,3,3,31.0069,-88.0103,Alabama,66.61063345,60.67873523,72.54253891,2150.579729,1959.04782,2342.114931
31,North Carolina,3,3,31.0069,-88.0103,Alabama,106.7755388,97.26666482,116.2844551,2150.579729,1959.04782,2342.114931
32,North Dakota,3,3,31.0069,-88.0103,Alabama,0.157786921,0.143735545,0.171838299,2150.579729,1959.04782,2342.114931
33,Ohio,3,3,31.0069,-88.0103,Alabama,70.88609072,64.57342861,77.19876447,2150.579729,1959.04782,2342.114931
34,Oklahoma,3,3,31.0069,-88.0103,Alabama,20.84633295,18.98988839,22.70278161,2150.579729,1959.04782,2342.114931
35,Oregon,3,3,31.0069,-88.0103,Alabama,2.01E-07,1.83E-07,2.19E-07,2150.579729,1959.04782,2342.114931
36,Pennsylvania,3,3,31.0069,-88.0103,Alabama,82.52184228,75.17297745,89.8707201,2150.579729,1959.04782,2342.114931
37,Rhode Island,3,3,31.0069,-88.0103,Alabama,3.745953681,3.412364411,4.079543288,2150.579729,1959.04782,2342.114931
38,South Carolina,3,3,31.0069,-88.0103,Alabama,64.25002964,58.52823351,69.97185572,2150.579729,1959.04782,2342.114931
39,South Dakota,3,3,31.0069,-88.0103,Alabama,0.501398245,0.456747264,0.546049241,2150.579729,1959.04782,2342.114931
40,Tennessee,3,3,31.0069,-88.0103,Alabama,115.9529785,105.6266642,126.2793672,2150.579729,1959.04782,2342.114931
41,Texas,3,3,31.0069,-88.0103,Alabama,132.9397806,121.1009173,144.7786844,2150.579729,1959.04782,2342.114931
42,Utah,3,3,31.0069,-88.0103,Alabama,0.004516374,0.004114178,0.004918569,2150.579729,1959.04782,2342.114931
43,Vermont,3,3,31.0069,-88.0103,Alabama,1.503187761,1.369324175,1.637051456,2150.579729,1959.04782,2342.114931
44,Virginia,3,3,31.0069,-88.0103,Alabama,56.17836209,51.17544432,61.18129534,2150.579729,1959.04782,2342.114931
45,Washington,3,3,31.0069,-88.0103,Alabama,0.002790815,0.002542285,0.003039345,2150.579729,1959.04782,2342.114931
46,West Virginia,3,3,31.0069,-88.0103,Alabama,19.2074647,17.49696106,20.91797338,2150.579729,1959.04782,2342.114931
47,Wisconsin,3,3,31.0069,-88.0103,Alabama,13.89697735,12.65940674,15.13454919,2150.579729,1959.04782,2342.114931
48,Wyoming,3,3,31.0069,-88.0103,Alabama,0.010749099,0.009791862,0.011706337,2150.579729,1959.04782,2342.114931
49,Alabama,7,7,34.0128,-85.9708,Alabama,103.2397486,94.04500836,112.4346755,502.1737939,457.4524591,546.8953964
50,Arizona,7,7,34.0128,-85.9708,Alabama,0.003281117,0.002988925,0.00357331,502.1737939,457.4524591,546.8953964
51,Arkansas,7,7,34.0128,-85.9708,Alabama,5.155928095,4.69677495,5.615081919,502.1737939,457.4524591,546.8953964
52,California,7,7,34.0128,-85.9708,Alabama,0.00045181,0.000411575,0.000492045,502.1737939,457.4524591,546.8953964
53,Colorado,7,7,34.0128,-85.9708,Alabama,0.023049972,0.020997308,0.025102636,502.1737939,457.4524591,546.8953964
54,Connecticut,7,7,34.0128,-85.9708,Alabama,3.818020478,3.478014086,4.158027085,502.1737939,457.4524591,546.8953964
55,DC,7,7,34.0128,-85.9708,Alabama,0.98450974,0.896835916,1.072183663,502.1737939,457.4524591,546.8953964
56,Delaware,7,7,34.0128,-85.9708,Alabama,1.287958638,1.173261822,1.40265556,502.1737939,457.4524591,546.8953964
57,Florida,7,7,34.0128,-85.9708,Alabama,18.96078659,17.27226894,20.64930563,502.1737939,457.4524591,546.8953964
58,Georgia,7,7,34.0128,-85.9708,Alabama,44.69079542,40.71086418,48.67074469,502.1737939,457.4524591,546.8953964
59,Idaho,7,7,34.0128,-85.9708,Alabama,0.000205,0.000186744,0.000223256,502.1737939,457.4524591,546.8953964
60,Illinois,7,7,34.0128,-85.9708,Alabama,15.5633387,14.17737352,16.94930521,502.1737939,457.4524591,546.8953964
61,Indiana,7,7,34.0128,-85.9708,Alabama,15.2454256,13.88776753,16.60308577,502.1737939,457.4524591,546.8953964
62,Iowa,7,7,34.0128,-85.9708,Alabama,1.056324282,0.962255542,1.150393048,502.1737939,457.4524591,546.8953964
63,Kansas,7,7,34.0128,-85.9708,Alabama,0.774646181,0.705661692,0.84363069,502.1737939,457.4524591,546.8953964
64,Kentucky,7,7,34.0128,-85.9708,Alabama,17.57993272,16.01437052,19.14549894,502.1737939,457.4524591,546.8953964
65,Louisiana,7,7,34.0128,-85.9708,Alabama,7.667339115,6.984536712,8.350142425,502.1737939,457.4524591,546.8953964
66,Maine,7,7,34.0128,-85.9708,Alabama,0.795428725,0.724593478,0.866263996,502.1737939,457.4524591,546.8953964
67,Maryland,7,7,34.0128,-85.9708,Alabama,9.304572826,8.47596995,10.13317666,502.1737939,457.4524591,546.8953964
68,Massachusetts,7,7,34.0128,-85.9708,Alabama,5.538785766,5.04554028,6.032031504,502.1737939,457.4524591,546.8953964
69,Michigan,7,7,34.0128,-85.9708,Alabama,11.27615508,10.27197859,12.28033228,502.1737939,457.4524591,546.8953964
70,Minnesota,7,7,34.0128,-85.9708,Alabama,0.636944223,0.580222547,0.693665905,502.1737939,457.4524591,546.8953964
71,Mississippi,7,7,34.0128,-85.9708,Alabama,16.15900231,14.71996083,17.59805114,502.1737939,457.4524591,546.8953964
