,state_zip,deaths_coef_2_all,deaths_coef_1,deaths_coef_3
0,Alabama,13415.860596567436,12168.7015248545,14663.076910611155
1,Arizona,394.0116287592247,357.38486007033066,430.6398413355408
2,Arkansas,4289.818225834623,3891.0971219640305,4688.5438844750715
3,California,379.7483501972931,344.4535656045458,415.043276580595
4,Colorado,885.815954599326,803.4822113622479,968.1507949761576
5,Connecticut,6059.509081935107,5496.312009390944,6622.710624964488
6,DC,1474.582563812629,1337.5205830360117,1611.6472472751109
7,Delaware,1873.6754824728102,1699.5230217000947,2047.830336028846
8,Florida,11537.618716771056,10465.236790639157,12610.014399986167
9,Georgia,17754.04899710271,16103.53300540187,19404.65557571767
10,Idaho,35.23955111069086,31.964311394037303,38.51480102326868
11,Illinois,25357.622351351263,23000.686981113522,27714.594457278174
12,Indiana,22738.70627783676,20625.05979219045,24852.413101258262
13,Iowa,2692.0059875533357,2441.8019586425153,2942.2114510778965
14,Kansas,2545.4123040839404,2308.827146492317,2782.0000552748525
15,Kentucky,15939.749469953835,14458.069061520388,17421.47669132077
16,Louisiana,4233.033551789443,3839.590389238346,4626.481201431786
17,Maine,1409.8344836613326,1278.80065848678,1540.8688754330076
18,Maryland,13955.575443551743,12658.385154250927,15252.796229680198
19,Massachusetts,9465.428680653225,8585.674327660956,10345.18926499254
20,Michigan,22582.09482644784,20483.128315158763,24681.096165316125
21,Minnesota,2329.295938821402,2112.8045877743607,2545.7882863931877
22,Mississippi,4434.364931326478,4022.2050178015024,4846.530329778645
23,Missouri,10943.516288051569,9926.307600574937,11960.747567471562
24,Montana,36.18937642227745,32.82585482568315,39.55290911919354
25,Nebraska,1289.428184377203,1169.5820112996328,1409.2755386885835
26,Nevada,95.07789383967635,86.23991432004361,103.91615433173777
27,New Hampshire,1611.8611540021127,1462.0472676670117,1761.676335195532
28,New Jersey,18016.333599054276,16341.784275862978,19690.902996003068
29,New Mexico,269.1622532252661,244.1428932104311,294.1822738685807
30,New York,33449.91608713936,30340.896627688166,36558.9682365086
31,North Carolina,24731.58812674252,22432.70248449307,27030.53806751873
32,North Dakota,197.42272189535035,179.07263372706237,215.77311225244537
33,Ohio,44334.05979987993,40213.06367348047,48455.1698750941
34,Oklahoma,4733.745446836727,4293.754094280657,5173.743675688512
35,Oregon,74.22386348113727,67.32470283513096,81.12317576348431
36,Pennsylvania,47318.81698707787,42920.26362254618,51717.515404320206
37,Rhode Island,1729.9057649628448,1569.1215906885263,1890.691056587107
38,South Carolina,10020.937566070852,9089.511154812884,10952.378951647257
39,South Dakota,353.01302568772104,320.20309536290114,385.8230868484728
40,Tennessee,18057.987203846536,16379.491797145389,19736.51801957971
41,Texas,19612.878048738075,17789.664942456984,21436.168639606825
42,Utah,152.62108838122552,138.4357150015787,166.80659631653674
43,Vermont,739.7360479675502,670.9827232787283,808.4897228636011
44,Virginia,19158.09584071268,17377.359467693685,20938.866808109167
45,Washington,194.4323100520676,176.3573009479262,212.50820612506584
46,West Virginia,9066.120730081982,8223.352471564618,9908.921031872263
47,Wisconsin,5716.253564827039,5184.966071800147,6247.544061488424
48,Wyoming,77.95090755582,70.70585654005453,85.19600693244782
