state_zip,deaths_coef_2_all
Alabama,15884.71775
Arizona,435.185005
Arkansas,5462.001926
California,409.1991324
Colorado,1021.722042
Connecticut,6964.388225
DC,1563.849855
Delaware,1979.315213
Florida,11702.3238
Georgia,17371.28084
Idaho,40.92009131
Illinois,35996.12813
Indiana,25526.87819
Iowa,3765.21203
Kansas,3081.43256
Kentucky,16957.55579
Louisiana,6315.72612
Maine,1677.512865
Maryland,15368.63173
Massachusetts,10291.27749
Michigan,28470.2855
Minnesota,3131.958155
Mississippi,6575.47179
Missouri,14104.96322
Montana,44.04560971
Nebraska,1564.272527
Nevada,90.66272392
New Hampshire,1849.793755
New Jersey,18264.40425
New Mexico,284.217129
New York,37603.72129
North Carolina,26483.46584
North Dakota,231.8305922
Ohio,52392.35594
Oklahoma,5587.248086
Oregon,69.19975412
Pennsylvania,52410.83183
Rhode Island,1848.05403
South Carolina,11336.24388
South Dakota,461.0544265
Tennessee,20983.89417
Texas,23855.41985
Utah,171.7636666
Vermont,995.7053028
Virginia,21583.0683
Washington,401.3669392
West Virginia,9910.764409
Wisconsin,9134.936959
Wyoming,97.28506245
