state_zip,deaths_coef_2_all
Alabama,18144.19288
Arizona,786.7111097
Arkansas,7540.256043
California,899.8630625
Colorado,2204.877728
Connecticut,11281.59418
DC,2363.66577
Delaware,2955.598361
Florida,20234.11749
Georgia,21597.70114
Idaho,106.7374852
Illinois,49364.3184
Indiana,32957.27883
Iowa,6848.513199
Kansas,5004.745894
Kentucky,20519.9936
Louisiana,8977.782473
Maine,3381.566457
Maryland,22120.08431
Massachusetts,17641.16177
Michigan,40344.85687
Minnesota,7090.378377
Mississippi,7982.970382
Missouri,19027.28421
Montana,112.6066647
Nebraska,2943.885724
Nevada,185.5197405
New Hampshire,3308.300873
New Jersey,28044.5665
New Mexico,561.4917247
New York,59086.64149
North Carolina,32432.01316
North Dakota,584.657242
Ohio,74796.95105
Oklahoma,8076.593812
Oregon,184.9485412
Pennsylvania,73637.02481
Rhode Island,3074.523136
South Carolina,13791.27127
South Dakota,1029.096639
Tennessee,23841.86619
Texas,32063.40966
Utah,432.32264
Vermont,1807.918442
Virginia,28597.92957
Washington,931.5994828
West Virginia,12040.53697
Wisconsin,15760.226
Wyoming,217.2477052
