FacID,uID,year_scrubbed,year_shut,Facility.Latitude,Facility.Longitude,State
3,5,1,3,5,5,5
7,2,0,2,2,2,2
8,5,3,5,5,5,5
10,2,0,2,2,2,2
26,5,1,4,5,5,5
47,5,0,5,5,5,5
50,8,2,8,8,8,8
51,1,1,0,1,1,1
56,3,3,3,3,3,3
59,1,1,0,1,1,1
60,2,1,0,2,2,2
87,1,1,1,1,1,1
108,1,1,0,1,1,1
113,4,4,2,4,4,4
126,1,0,1,1,1,1
127,1,1,1,1,1,1
130,4,4,0,4,4,4
136,2,2,0,2,2,2
160,2,2,1,2,2,2
165,2,1,0,2,2,2
207,2,2,2,2,2,2
298,2,2,0,2,2,2
384,4,0,4,4,4,4
465,4,2,4,4,4,4
468,1,0,1,1,1,1
469,4,4,4,4,4,4
470,3,3,0,3,3,3
477,1,1,1,1,1,1
492,3,2,2,3,3,3
508,1,1,0,1,1,1
525,2,2,0,2,2,2
527,1,1,1,1,1,1
564,2,2,0,2,2,2
568,1,0,1,1,1,1
593,2,0,2,2,2,2
594,4,1,3,4,4,4
602,2,2,0,2,2,2
628,4,2,2,4,4,4
641,4,4,4,4,4,4
642,2,0,2,2,2,2
643,2,0,2,2,2,2
645,4,2,3,4,4,4
646,6,0,6,6,6,6
663,1,1,0,1,1,1
667,2,2,0,2,2,2
676,1,1,1,1,1,1
699,4,0,4,4,4,4
703,4,4,0,4,4,4
708,4,4,4,4,4,4
709,4,0,4,4,4,4
710,2,0,2,2,2,2
727,1,0,1,1,1,1
728,7,1,7,7,7,7
733,3,0,3,3,3,3
856,3,0,1,3,3,3
861,2,2,2,2,2,2
862,3,0,3,3,3,3
863,2,0,2,2,2,2
864,5,0,5,5,5,5
867,2,0,2,2,2,2
874,1,0,1,1,1,1
876,2,2,0,2,2,2
879,4,2,0,4,4,4
883,3,1,1,3,3,3
884,4,0,2,4,4,4
886,1,0,1,1,1,1
887,6,0,0,6,6,6
889,3,3,1,3,3,3
891,1,1,1,1,1,1
892,2,0,2,2,2,2
897,2,0,2,2,2,2
898,2,0,2,2,2,2
963,4,4,2,4,4,4
964,2,0,2,2,2,2
976,5,2,4,5,5,5
981,2,0,2,2,2,2
983,6,6,0,6,6,6
988,4,0,4,4,4,4
990,3,1,3,3,3,3
991,4,0,4,4,4,4
992,3,0,3,3,3,3
994,4,4,1,4,4,4
995,2,2,2,2,2,2
996,3,0,3,3,3,3
997,1,1,0,1,1,1
1001,2,2,0,2,2,2
1004,5,0,3,5,5,5
1007,3,0,3,3,3,3
1008,4,2,4,4,4,4
1010,5,0,5,5,5,5
1012,3,2,1,3,3,3
1040,2,1,0,2,2,2
1043,2,0,2,2,2,2
1046,3,0,3,3,3,3
1047,4,1,3,4,4,4
1048,1,0,1,1,1,1
1058,4,0,4,4,4,4
1073,2,0,1,2,2,2
1077,3,0,3,3,3,3
1081,1,0,1,1,1,1
1082,4,2,2,4,4,4
1091,3,1,2,3,3,3
1104,1,0,0,1,1,1
1122,2,0,2,2,2,2
1131,1,0,0,1,1,1
1167,2,1,0,2,2,2
1175,2,0,2,2,2,2
1217,1,0,1,1,1,1
1218,1,0,1,1,1,1
1239,2,0,2,2,2,2
1241,2,2,0,2,2,2
1250,3,2,1,3,3,3
1252,2,0,2,2,2,2
1294,1,0,1,1,1,1
1295,2,0,2,2,2,2
1353,2,0,2,2,2,2
1355,3,3,2,3,3,3
1356,4,4,0,4,4,4
1357,5,3,5,5,5,5
1360,1,0,1,1,1,1
1361,1,0,1,1,1,1
1363,3,3,3,3,3,3
1364,4,4,0,4,4,4
1372,1,0,1,1,1,1
1374,2,2,2,2,2,2
1378,3,3,3,3,3,3
1379,10,3,1,10,10,10
1381,3,3,3,3,3,3
1382,2,2,2,2,2,2
1383,1,0,1,1,1,1
1384,2,2,0,2,2,2
1385,4,0,4,4,4,4
1393,1,0,0,1,1,1
1552,2,0,2,2,2,2
1554,2,0,0,2,2,2
1570,2,0,2,2,2,2
1571,2,2,2,2,2,2
1572,3,3,3,3,3,3
1573,2,2,0,2,2,2
1606,1,0,1,1,1,1
1613,1,0,1,1,1,1
1619,3,3,3,3,3,3
1626,3,0,3,3,3,3
1695,2,0,2,2,2,2
1702,2,2,0,2,2,2
1710,3,3,0,3,3,3
1720,2,0,2,2,2,2
1723,3,0,3,3,3,3
1731,1,0,1,1,1,1
1732,4,0,4,4,4,4
1733,4,4,0,4,4,4
1740,2,0,2,2,2,2
1743,6,0,2,6,6,6
1745,5,0,4,5,5,5
1769,8,0,8,8,8,8
1825,1,1,1,1,1,1
1830,1,0,1,1,1,1
1831,6,0,6,6,6,6
1832,1,0,0,1,1,1
1843,1,1,1,1,1,1
1866,2,1,2,2,2,2
1891,2,0,2,2,2,2
1893,4,2,2,4,4,4
1904,4,0,4,4,4,4
1912,4,0,4,4,4,4
1915,1,1,0,1,1,1
1918,1,0,1,1,1,1
1927,3,0,3,3,3,3
1943,2,0,2,2,2,2
1961,1,0,1,1,1,1
2008,1,1,1,1,1,1
2049,2,0,2,2,2,2
2076,1,1,1,1,1,1
2079,2,2,1,2,2,2
2080,3,0,3,3,3,3
2094,3,0,3,3,3,3
2098,1,0,1,1,1,1
2103,4,0,0,4,4,4
2104,4,0,2,4,4,4
2107,2,2,0,2,2,2
2123,2,0,0,2,2,2
2132,1,0,1,1,1,1
2161,3,0,3,3,3,3
2167,2,0,0,2,2,2
2168,3,0,0,3,3,3
2169,1,0,1,1,1,1
2187,1,0,1,1,1,1
2240,1,1,0,1,1,1
2277,2,0,0,2,2,2
2291,5,0,3,5,5,5
2324,4,4,4,4,4,4
2341,2,0,2,2,2,2
2364,2,2,0,2,2,2
2367,3,1,1,3,3,3
2378,2,1,2,2,2,2
2384,1,0,1,1,1,1
2403,1,1,1,1,1,1
2408,2,2,2,2,2,2
2434,1,0,1,1,1,1
2442,5,5,3,5,5,5
2451,4,4,2,4,4,4
2480,2,0,2,2,2,2
2526,3,1,3,3,3,3
2527,3,1,3,3,3,3
2529,4,0,4,4,4,4
2531,4,0,4,4,4,4
2535,2,0,0,2,2,2
2549,6,0,6,6,6,6
2554,4,0,4,4,4,4
2629,2,0,2,2,2,2
2640,1,0,1,1,1,1
2642,4,0,4,4,4,4
2682,4,0,4,4,4,4
2706,2,2,2,2,2,2
2708,2,0,2,2,2,2
2709,3,0,3,3,3,3
2712,6,6,0,6,6,6
2713,3,0,3,3,3,3
2716,3,0,3,3,3,3
2718,5,5,1,5,5,5
2720,5,0,5,5,5,5
2721,6,2,4,6,6,6
2723,3,0,3,3,3,3
2727,4,4,0,4,4,4
2732,4,0,4,4,4,4
2790,1,1,0,1,1,1
2817,2,2,0,2,2,2
2823,2,2,0,2,2,2
2824,2,1,2,2,2,2
2828,3,3,0,3,3,3
2830,6,0,6,6,6,6
2832,5,2,2,5,5,5
2835,4,0,4,4,4,4
2836,2,0,1,2,2,2
2837,5,0,5,5,5,5
2838,1,0,1,1,1,1
2840,6,3,6,6,6,6
2843,1,0,1,1,1,1
2848,6,0,6,6,6,6
2850,4,4,4,4,4,4
2861,2,1,2,2,2,2
2864,8,0,4,8,8,8
2866,7,7,0,7,7,7
2872,5,0,5,5,5,5
2876,5,5,0,5,5,5
2878,4,1,4,4,4,4
2917,2,1,2,2,2,2
2952,3,0,2,3,3,3
2963,2,1,1,2,2,2
3098,4,4,4,4,4,4
3113,2,0,2,2,2,2
3115,3,0,3,3,3,3
3118,2,0,0,2,2,2
3122,3,3,0,3,3,3
3130,5,2,3,5,5,5
3131,4,0,4,4,4,4
3132,4,0,4,4,4,4
